Business Name,Business Address,Google Profile,Day of Week,Special Description,Special Time
Benton Station,"303 N Benton Dr, Sauk Rapids, MN 56379",https://www.google.com/maps?cid=10716134797234147187,Tuesday,$1 Tacos,After 5PM
Crooked Pint Ale House,"60 Division St, Waite Park, MN 56387",https://maps.google.com/?cid=2758443587475522305,Tuesday,$2 off select apps,3PM – 6PM
Crooked Pint Ale House,"58 Division St, Waite Park, MN 56387",https://maps.google.com/?cid=2758443587475522305,Tuesday,Burger & Fries $11 (add cheese $1),11AM – 2PM
Crooked Pint Ale House,"58 Division St, Waite Park, MN 56387",https://maps.google.com/?cid=2758443587475522305,Tuesday,$13 Tacos,All day
Crooked Pint Ale House,"59 Division St, Waite Park, MN 56387",https://maps.google.com/?cid=2758443587475522305,Tuesday,$1 Off All Taps,11AM – 6PM
G-Allen’s Restaurant & Sports Bar,"116 Evergreen Dr, Sartell, MN 56377",https://www.google.com/maps?cid=863212231200669648,Tuesday,Happy Hour: Select appetizers at half price and $1 off all drinks,4PM – 6:30PM
Granite City Food & Brewery,"3945 2nd St S, St Cloud, MN 56301",https://www.google.com/maps?cid=3291221017508555052,Tuesday,"$10 Taco Trio with chips & salsa, $3 Margaritas",All day
Jimmy’s Pour House,"22 2nd Ave N, Sauk Rapids, MN 56379",https://www.google.com/maps?cid=9931203142589866897,Tuesday,$12 Lunch Specials Soup & Sandwich,11AM – 3PM
La Casita,"4130 W Division St, Waite Park, MN 56387",https://www.google.com/maps?cid=13363612168362794215,Tuesday,"$1.00 off all large House Margaritas, Complimentary Appetizer Bar ",3PM – 6PM
Lost Times Tavern,"2 N Benton Dr, Sauk Rapids, MN 56379",https://www.google.com/maps?cid=12323015935555331724,Tuesday,$3 Tacos,Evening
Mexican Village,"509 W St Germain St, St Cloud, MN 56301",https://www.google.com/maps?cid=6413827772583892721,Tuesday,$5.99 Mega House Margaritas,All day
Mexican Village,"509 W St Germain St, St Cloud, MN 56301",https://www.google.com/maps?cid=6413827772583892721,Tuesday,Fajita Tuesday: $1 off tap beer,All day
Neighbors Bar & Grille,"2011 Co Rd 75, St Joseph, MN 56374",https://www.google.com/maps?cid=11583902400332753822,Tuesday,3 Tacos for $13.99,All day
Sal's Bar,"109 W Minnesota St, St Joseph, MN 56374",https://www.google.com/maps?cid=6627178158394302611,Tuesday,$9 Sloppy Joe and Chips; $12 2 Sloppy Joes and Chips,Lunchtime
