Title,Main Image URL,City,Bedrooms,Bathrooms,Sleeps,Link,Non-Tracked Link,Local/Greater,Adjusted Main Image URL,,,,,,,,,,,,,,,,"<tr class=""row"">
    <!-- CARD 1 -->
    <td class=""column"" width=""33.33%"" style=""padding:8px;vertical-align:top;"">
      <table role=""presentation"" width=""100%"" cellpadding=""0"" cellspacing=""0""
             style=""table-layout:fixed;border:1px solid #ddd;border-radius:8px;background:#fff;height:100%;font-size:16px;line-height:26px;box-shadow:0 4px 12px rgba(0,0,0,.15);"">
        <!-- Image -->
        <tr>
          <!-- remove any gap above image -->
          <td style=""padding:0;line-height:0;font-size:0;mso-line-height-rule:exactly;border-top-left-radius:8px;border-top-right-radius:8px;"">
            <a href=""https://vrbo.com/affiliates/3355390.n1Yxz2F"" style=""display:block;text-decoration:none;"">
              <img src=""https://cdn.jsdelivr.net/gh/VFDavid/STCScoop@Vrbo/images/vrbo/f1c1e277931af339.jpg""
                   alt=""Stunning Lake View - Cabin 11, South Haven, MN"" border=""0""
                   style=""display:block;width:100%;height:auto;border:0;outline:none;text-decoration:none;border-top-left-radius:8px;border-top-right-radius:8px;"">
            </a>
          </td>
        </tr>
        <!-- Body -->
        <tr>
          <td style=""padding:6px 10px 6px;"">
            <!-- 2-line clamp on desktop; mobile unlocks below -->
            <div class=""vrbo-title"" style=""font-size:16px;line-height:20px;height:auto;overflow:hidden;font-weight:bold;margin:0 0 4px;"">
              <a href=""https://vrbo.com/affiliates/3355390.n1Yxz2F"" style=""color:#0A66C2;text-decoration:none;"">Stunning Lake View - Cabin 11</a>
            </div>
            <div style=""font-size:13px;line-height:18px;color:#555;margin:0 0 8px;"">South Haven, MN</div>
            <table role=""presentation"" width=""100%"" cellpadding=""0"" cellspacing=""0"" style=""border-top:1px solid #eee;table-layout:fixed;"">
              <tr>
                <td align=""center"" style=""padding:4px 0;font-size:12px;color:#222;white-space:nowrap;""><strong>2</strong> BR</td>
                <td align=""center"" style=""padding:4px 0;font-size:12px;color:#222;border-left:1px solid #eee;border-right:1px solid #eee;white-space:nowrap;""><strong>1</strong> BA</td>
                <td align=""center"" style=""padding:4px 0;font-size:12px;color:#222;white-space:nowrap;"">Sleeps <strong>4</strong></td>
              </tr>
            </table>
          </td>
        </tr>
      </table>
    </td>
    <!-- CARD 2 -->
    <td class=""column"" width=""33.33%"" style=""padding:8px;vertical-align:top;"">
      <table role=""presentation"" width=""100%"" cellpadding=""0"" cellspacing=""0""
             style=""table-layout:fixed;border:1px solid #ddd;border-radius:8px;background:#fff;height:100%;font-size:16px;line-height:26px;box-shadow:0 4px 12px rgba(0,0,0,.15);"">
        <!-- Image -->
        <tr>
          <!-- remove any gap above image -->
          <td style=""padding:0;line-height:0;font-size:0;mso-line-height-rule:exactly;border-top-left-radius:8px;border-top-right-radius:8px;"">
            <a href=""https://vrbo.com/affiliates/2203843.tWsa8P0"" style=""display:block;text-decoration:none;"">
              <img src=""https://cdn.jsdelivr.net/gh/VFDavid/STCScoop@Vrbo/images/vrbo/f1de54f07cac3656.jpg""
                   alt=""Bayview Cottage – Lakeside Getaway with Dock, Beach Access & Near Canal Park, Duluth, MN"" border=""0""
                   style=""display:block;width:100%;height:auto;border:0;outline:none;text-decoration:none;border-top-left-radius:8px;border-top-right-radius:8px;"">
            </a>
          </td>
        </tr>
        <!-- Body -->
        <tr>
          <td style=""padding:6px 10px 6px;"">
            <!-- 2-line clamp on desktop; mobile unlocks below -->
            <div class=""vrbo-title"" style=""font-size:16px;line-height:20px;height:auto;overflow:hidden;font-weight:bold;margin:0 0 4px;"">
              <a href=""https://vrbo.com/affiliates/2203843.tWsa8P0"" style=""color:#0A66C2;text-decoration:none;"">Bayview Cottage – Lakeside Getaway with Dock, Beach Access & Near Canal Park</a>
            </div>
            <div style=""font-size:13px;line-height:18px;color:#555;margin:0 0 8px;"">Duluth, MN</div>
            <table role=""presentation"" width=""100%"" cellpadding=""0"" cellspacing=""0"" style=""border-top:1px solid #eee;table-layout:fixed;"">
              <tr>
                <td align=""center"" style=""padding:4px 0;font-size:12px;color:#222;white-space:nowrap;""><strong>3</strong> BR</td>
                <td align=""center"" style=""padding:4px 0;font-size:12px;color:#222;border-left:1px solid #eee;border-right:1px solid #eee;white-space:nowrap;""><strong>2</strong> BA</td>
                <td align=""center"" style=""padding:4px 0;font-size:12px;color:#222;white-space:nowrap;"">Sleeps <strong>7</strong></td>
              </tr>
            </table>
          </td>
        </tr>
      </table>
    </td>
    <!-- CARD 3 -->
    <td class=""column"" width=""33.33%"" style=""padding:8px;vertical-align:top;"">
      <table role=""presentation"" width=""100%"" cellpadding=""0"" cellspacing=""0""
             style=""table-layout:fixed;border:1px solid #ddd;border-radius:8px;background:#fff;height:100%;font-size:16px;line-height:26px;box-shadow:0 4px 12px rgba(0,0,0,.15);"">
        <!-- Image -->
        <tr>
          <!-- remove any gap above image -->
          <td style=""padding:0;line-height:0;font-size:0;mso-line-height-rule:exactly;border-top-left-radius:8px;border-top-right-radius:8px;"">
            <a href=""https://vrbo.com/affiliates/748059.WRmvUeY"" style=""display:block;text-decoration:none;"">
              <img src=""https://cdn.jsdelivr.net/gh/VFDavid/STCScoop@Vrbo/images/vrbo/2b13b9bff9a056bb.jpg""
                   alt=""Charming Cottage On Lake Superior-15 minutes from Grand Marais and Lutsen, Lutsen, MN"" border=""0""
                   style=""display:block;width:100%;height:auto;border:0;outline:none;text-decoration:none;border-top-left-radius:8px;border-top-right-radius:8px;"">
            </a>
          </td>
        </tr>
        <!-- Body -->
        <tr>
          <td style=""padding:6px 10px 6px;"">
            <!-- 2-line clamp on desktop; mobile unlocks below -->
            <div class=""vrbo-title"" style=""font-size:16px;line-height:20px;height:auto;overflow:hidden;font-weight:bold;margin:0 0 4px;"">
              <a href=""https://vrbo.com/affiliates/748059.WRmvUeY"" style=""color:#0A66C2;text-decoration:none;"">Charming Cottage On Lake Superior-15 minutes from Grand Marais and Lutsen</a>
            </div>
            <div style=""font-size:13px;line-height:18px;color:#555;margin:0 0 8px;"">Lutsen, MN</div>
            <table role=""presentation"" width=""100%"" cellpadding=""0"" cellspacing=""0"" style=""border-top:1px solid #eee;table-layout:fixed;"">
              <tr>
                <td align=""center"" style=""padding:4px 0;font-size:12px;color:#222;white-space:nowrap;""><strong>1</strong> BR</td>
                <td align=""center"" style=""padding:4px 0;font-size:12px;color:#222;border-left:1px solid #eee;border-right:1px solid #eee;white-space:nowrap;""><strong>1</strong> BA</td>
                <td align=""center"" style=""padding:4px 0;font-size:12px;color:#222;white-space:nowrap;"">Sleeps <strong>2</strong></td>
              </tr>
            </table>
          </td>
        </tr>
      </table>
    </td>
</tr>"
Stunning Family Friendly Lake Home Retreat on Beautiful Lake Darling,https://media.vrbo.com/lodging/71000000/70880000/70871000/70870927/w1719h985x0y0-5a5a55be.jpg?impolicy=resizecrop&rw=1200&ra=fit,"Alexandria, MN",5,3+,12,https://vrbo.com/affiliates/2447459.kbg3BWN,,Greater,https://cdn.jsdelivr.net/gh/VFDavid/STCScoop@Vrbo/images/vrbo/4649ae22441e5c52.jpg,,,,,,,,,,,,,,,,
Luxury Lake Home with Guest House & Game Room,https://media.vrbo.com/lodging/34000000/33150000/33145700/33145655/cf2b7ca0.jpg?impolicy=resizecrop&rw=1200&ra=fit,"Carlos, MN",6,4,12,https://vrbo.com/affiliates/691760.ykqI98H,,Greater,https://cdn.jsdelivr.net/gh/VFDavid/STCScoop@Vrbo/images/vrbo/849d9074fe97a0a7.jpg,,,,,,,,,,,,,,,,
Brand New Grand Home on Lake Miltona Alexandria,https://media.vrbo.com/lodging/112000000/111260000/111253800/111253758/977022b7.jpg?impolicy=resizecrop&rw=1200&ra=fit,"Alexandria, MN",6,4+,18,https://vrbo.com/affiliates/4317475.rF0dp4h,,Greater,https://cdn.jsdelivr.net/gh/VFDavid/STCScoop@Vrbo/images/vrbo/0764efe3f81161d7.jpg,,,,,,,,,,,,,,,,
Modern 3-bedroom House on Private Wooded Lot,https://media.vrbo.com/lodging/107000000/106360000/106353200/106353120/2a114c34.jpg?impolicy=resizecrop&rw=1200&ra=fit,"Alexandria, MN",3,2+,9,https://vrbo.com/affiliates/4066486.KXKFqmX,,Greater,https://cdn.jsdelivr.net/gh/VFDavid/STCScoop@Vrbo/images/vrbo/8e408c6050f6c6de.jpg,,,,,,,,,,,,,,,,
"Mississippi Waterfront Beach home-Sauk Rapids, MN",https://media.vrbo.com/lodging/83000000/82830000/82820900/82820860/ab1560ae.jpg?impolicy=resizecrop&rw=1200&ra=fit,"Sauk Rapids, MN",6,3,14,https://vrbo.com/affiliates/2881749.8hD9pSA,,Local,https://cdn.jsdelivr.net/gh/VFDavid/STCScoop@Vrbo/images/vrbo/af9b53e7e3f7fd5b.jpg,,,,,,,,,,,,,,,,
Beautiful vintage home on the Alexandria Chain of Lakes,https://media.vrbo.com/lodging/34000000/33740000/33732300/33732270/1ae78ae8.jpg?impolicy=resizecrop&rw=1200&ra=fit,"Alexandria, MN",6,5+,21,https://vrbo.com/affiliates/1149589.bwVVH5n,,Greater,https://cdn.jsdelivr.net/gh/VFDavid/STCScoop@Vrbo/images/vrbo/70707a57659dff7d.jpg,,,,,,,,,,,,,,,,
The Maple Lake Villa,https://media.vrbo.com/lodging/106000000/105380000/105372000/105371916/300b294a.jpg?impolicy=resizecrop&rw=1200&ra=fit,"Alexandria, MN",6,5,12,https://vrbo.com/affiliates/4012563.Ct9FgjV,,Greater,https://cdn.jsdelivr.net/gh/VFDavid/STCScoop@Vrbo/images/vrbo/6e6393436efcdae6.jpg,,,,,,,,,,,,,,,,
Luxury Cowdry Cottage Lake Home,https://media.vrbo.com/lodging/100000000/99540000/99536900/99536870/ba538780.jpg?impolicy=resizecrop&rw=1200&ra=fit,"Alexandria, MN",7,6,12,https://vrbo.com/affiliates/3648146.bHs08gq,,Greater,https://cdn.jsdelivr.net/gh/VFDavid/STCScoop@Vrbo/images/vrbo/5ad98fceda4654cc.jpg,,,,,,,,,,,,,,,,
Minnesota Magic - Escape to a Riverside Retreat,https://media.vrbo.com/lodging/106000000/105280000/105273500/105273452/e98dba7e.jpg?impolicy=resizecrop&rw=1200&ra=fit,"St. Cloud, MN",3,2,8,https://vrbo.com/affiliates/4007429.LPUsinj,,Local,https://cdn.jsdelivr.net/gh/VFDavid/STCScoop@Vrbo/images/vrbo/9d76b054ee3e5b61.jpg,,,,,,,,,,,,,,,,
Spacious & luxurious 5-bedroom house with amazing views of Lake MInnewaska!,https://media.vrbo.com/lodging/116000000/115490000/115487900/115487868/f74f81d3.jpg?impolicy=resizecrop&rw=1200&ra=fit,"Starbuck, MN",5,2+,12,https://vrbo.com/affiliates/4554322.fahLWzO,,Greater,https://cdn.jsdelivr.net/gh/VFDavid/STCScoop@Vrbo/images/vrbo/73bbb5660e6e01c0.jpg,,,,,,,,,,,,,,,,
NEW! Sturgeon Lake Retreat: Beautiful Lakefront home on Sturgeon Island,https://media.vrbo.com/lodging/120000000/119760000/119754100/119754097/3affc95c.jpg?impolicy=resizecrop&rw=1200&ra=fit,"Sturgeon Lake, MN",3,2,12,https://vrbo.com/affiliates/4765961.BvSBjtg,,Greater,https://cdn.jsdelivr.net/gh/VFDavid/STCScoop@Vrbo/images/vrbo/30c164a4abb282e5.jpg,,,,,,,,,,,,,,,,
Kung tält - Hillside Site - Glamping Tent for Two!,https://media.vrbo.com/lodging/110000000/109700000/109695300/109695227/e6ef4eee.jpg?impolicy=resizecrop&rw=1200&ra=fit,"Beaver Bay, MN",0,0,2,https://vrbo.com/affiliates/4236836.DgM21jk,,Greater,https://cdn.jsdelivr.net/gh/VFDavid/STCScoop@Vrbo/images/vrbo/c305005c0023093e.jpg,,,,,,,,,,,,,,,,
Sandy beach at Crosslake,https://media.vrbo.com/lodging/34000000/33550000/33548200/33548192/c610e41f.jpg?impolicy=resizecrop&rw=1200&ra=fit,"Crosslake, MN",4,3,17,https://vrbo.com/affiliates/vrbo-usa.aEn1zYX,,Greater,https://cdn.jsdelivr.net/gh/VFDavid/STCScoop@Vrbo/images/vrbo/550f0a9fbf939b3d.jpg,,,,,,,,,,,,,,,,
"Stunning Lake Home! Sleeps 12, 4 Full Bathrooms on 3 Acres!",https://media.vrbo.com/lodging/110000000/109060000/109053100/109053008/e15d6545.jpg?impolicy=resizecrop&rw=1200&ra=fit,"Clearwater, MN",3,4,12,https://vrbo.com/affiliates/4203951.YpxSuME,,Local,https://cdn.jsdelivr.net/gh/VFDavid/STCScoop@Vrbo/images/vrbo/8df0878775000246.jpg,,,,,,,,,,,,,,,,
HALSNOY HAVEN ON THE NORTH SHORE OF LAKE SUPERIOR. Unreal Lake Superior views!,https://media.vrbo.com/lodging/94000000/93540000/93537000/93536982/1546335a.jpg?impolicy=resizecrop&rw=1200&ra=fit,"Tofte, MN",1,2,2,https://vrbo.com/affiliates/3397898.eDhYHW4,,Greater,https://cdn.jsdelivr.net/gh/VFDavid/STCScoop@Vrbo/images/vrbo/bd41711c8922cd20.jpg,,,,,,,,,,,,,,,,
